Datetime,Open,High,Low,Close,Volume
2025-02-25 05:00:00+00:00,36.075,36.32,35.935,36.02,98134
2025-02-26 05:00:00+00:00,36.03,36.16,35.905,36.0,73628
2025-02-27 05:00:00+00:00,35.82,36.11,35.79,35.98,87913
2025-02-28 05:00:00+00:00,35.995,36.19,35.87,36.155,75366
2025-03-03 05:00:00+00:00,36.025,36.13,35.88,36.06,123035
2025-03-04 05:00:00+00:00,36.155,36.155,35.86,35.94,120368
2025-03-05 05:00:00+00:00,35.99,36.105,35.97,36.0,47694
2025-03-06 05:00:00+00:00,35.77,36.105,35.75,36.07,98335
2025-03-07 05:00:00+00:00,36.03,36.19,35.955,36.04,193433
2025-03-10 04:00:00+00:00,36.08,36.11,35.39,35.84,250345
2025-03-11 04:00:00+00:00,35.79,35.95,35.495,35.545,318319
2025-03-12 04:00:00+00:00,35.66,35.77,35.58,35.6,76805
2025-03-13 04:00:00+00:00,35.585,35.89,35.5,35.56,244345
2025-03-14 04:00:00+00:00,35.7,35.78,35.51,35.72,175665
2025-03-17 04:00:00+00:00,35.81,36.21,35.8,36.09,190412
2025-03-18 04:00:00+00:00,35.98,36.12,35.965,35.99,159879
2025-03-19 04:00:00+00:00,36.005,36.13,35.97,36.075,252930
2025-03-20 04:00:00+00:00,36.02,36.21,36.02,36.14,109162
2025-03-21 04:00:00+00:00,36.01,36.14,36.005,36.04,77949
2025-03-24 04:00:00+00:00,36.02,36.26,35.99,36.085,110536
2025-03-25 04:00:00+00:00,36.0,36.16,35.995,36.11,44590
2025-03-26 04:00:00+00:00,36.13,36.25,36.05,36.12,42426
2025-03-27 04:00:00+00:00,36.065,36.24,35.99,36.15,67490
2025-03-28 04:00:00+00:00,36.215,36.25,35.99,36.08,44665
2025-03-31 04:00:00+00:00,36.19,36.22,35.93,36.16,67404
2025-04-01 04:00:00+00:00,36.18,36.2,36.02,36.125,122271
2025-04-02 04:00:00+00:00,35.99,36.14,35.99,36.04,58221
2025-04-03 04:00:00+00:00,35.95,36.11,35.18,35.25,148848
2025-04-04 04:00:00+00:00,35.19,35.19,33.81,33.98,418726
2025-04-07 04:00:00+00:00,33.61,34.64,33.46,34.14,273568
2025-04-08 04:00:00+00:00,34.495,34.92,33.75,33.97,260206
2025-04-09 04:00:00+00:00,33.75,35.375,33.75,35.14,239543
2025-04-10 04:00:00+00:00,35.08,35.215,34.43,34.65,127279
2025-04-11 04:00:00+00:00,34.675,35.0,34.615,34.89,70189
2025-04-14 04:00:00+00:00,35.18,35.18,34.68,34.8,89405
2025-04-15 04:00:00+00:00,34.99,35.16,34.245,34.66,324049
2025-04-16 04:00:00+00:00,34.505,34.8,34.3,34.485,96428
2025-04-17 04:00:00+00:00,34.475,34.9,34.3,34.345,79774
2025-04-21 04:00:00+00:00,34.15,34.17,33.7,34.05,103066
2025-04-22 04:00:00+00:00,34.34,34.66,34.34,34.605,75228
2025-04-23 04:00:00+00:00,34.81,35.35,34.8,35.32,194813
2025-04-24 04:00:00+00:00,35.36,35.565,35.32,35.515,77547
2025-04-25 04:00:00+00:00,35.54,35.63,35.45,35.56,38491
2025-04-28 04:00:00+00:00,35.58,35.795,35.46,35.77,108287
2025-04-29 04:00:00+00:00,35.76,36.06,35.73,36.02,76055
2025-04-30 04:00:00+00:00,36.04,36.34,35.715,36.28,218567
2025-05-01 04:00:00+00:00,36.27,36.385,35.95,36.345,138602
2025-05-02 04:00:00+00:00,36.3,36.73,36.295,36.635,137123
2025-05-05 04:00:00+00:00,36.68,36.68,36.47,36.63,120726
2025-05-06 04:00:00+00:00,36.465,36.615,36.22,36.6,101541
2025-05-07 04:00:00+00:00,36.5,36.595,36.36,36.39,94309
2025-05-08 04:00:00+00:00,36.455,36.53,36.23,36.34,87460
2025-05-09 04:00:00+00:00,36.415,36.415,36.18,36.34,66531
2025-05-12 04:00:00+00:00,36.55,36.745,36.38,36.6,99330
2025-05-13 04:00:00+00:00,36.59,36.705,36.35,36.37,102992
2025-05-14 04:00:00+00:00,36.47,36.47,36.0,36.06,208489
2025-05-15 04:00:00+00:00,36.16,36.4,36.16,36.32,131545
2025-05-16 04:00:00+00:00,36.355,36.355,35.98,36.06,141972
2025-05-19 04:00:00+00:00,36.015,36.2,35.95,36.15,165816
2025-05-20 04:00:00+00:00,36.16,36.265,36.05,36.18,52356
2025-05-21 04:00:00+00:00,35.985,36.125,35.89,35.96,172371
2025-05-22 04:00:00+00:00,35.94,36.105,35.855,35.945,104295
2025-05-23 04:00:00+00:00,35.73,36.015,35.7,35.985,100489
2025-05-27 04:00:00+00:00,36.11,36.145,35.95,36.08,87294
2025-05-28 04:00:00+00:00,36.1,36.12,35.9,35.93,108230
2025-05-29 04:00:00+00:00,35.94,36.05,35.87,35.95,82879
2025-05-30 04:00:00+00:00,35.93,36.015,35.78,35.92,73118
2025-06-02 04:00:00+00:00,35.855,35.99,35.78,35.88,98668
2025-06-03 04:00:00+00:00,35.75,35.97,35.73,35.97,99498
2025-06-04 04:00:00+00:00,35.91,36.0,35.905,35.93,122950
2025-06-05 04:00:00+00:00,35.925,36.035,35.75,35.8,118158
2025-06-06 04:00:00+00:00,35.83,35.93,35.82,35.9,106831
2025-06-09 04:00:00+00:00,35.91,36.01,35.51,35.76,177211
2025-06-10 04:00:00+00:00,35.77,35.925,35.7,35.85,190888
2025-06-11 04:00:00+00:00,35.96,36.06,35.83,35.89,142090
2025-06-12 04:00:00+00:00,35.92,36.02,35.88,35.92,65372
2025-06-13 04:00:00+00:00,35.785,35.93,35.71,35.75,91184
2025-06-16 04:00:00+00:00,35.895,36.085,35.89,36.0,104647
2025-06-17 04:00:00+00:00,35.95,36.06,35.85,35.93,103248
2025-06-18 04:00:00+00:00,36.02,36.03,35.84,35.85,99153
2025-06-20 04:00:00+00:00,35.95,36.115,35.925,36.03,124065
2025-06-23 04:00:00+00:00,36.0,36.32,36.0,36.29,159574
2025-06-24 04:00:00+00:00,36.33,36.64,36.29,36.54,171918
2025-06-25 04:00:00+00:00,36.59,36.67,36.465,36.54,73441
2025-06-26 04:00:00+00:00,36.585,36.96,36.585,36.91,185875
2025-06-27 04:00:00+00:00,36.87,37.2,36.76,36.84,203066
2025-06-30 04:00:00+00:00,39.915,39.93,39.885,39.9,784815
2025-07-01 04:00:00+00:00,39.93,39.96,39.93,39.945,443112
