Datetime,Open,High,Low,Close,Volume,Ticker
2026-02-05 19:43:00+00:00,191.16,191.395,191.16,191.395,1065,AMD
2026-02-05 19:44:00+00:00,191.42,191.42,191.17,191.19,1322,AMD
2026-02-05 19:45:00+00:00,191.17,191.37,191.17,191.35,735,AMD
2026-02-05 19:46:00+00:00,191.22,191.23,191.05,191.05,1090,AMD
2026-02-05 19:47:00+00:00,191.11,191.13,191.03,191.13,1154,AMD
2026-02-05 19:48:00+00:00,191.13,191.38,191.06,191.09,2255,AMD
2026-02-05 19:49:00+00:00,191.24,191.31,191.2,191.25,1472,AMD
2026-02-05 19:50:00+00:00,191.26,191.26,190.825,190.825,2435,AMD
2026-02-05 19:51:00+00:00,190.8,190.89,190.74,190.84,2615,AMD
2026-02-05 19:52:00+00:00,190.85,190.86,190.85,190.86,341,AMD
2026-02-05 19:53:00+00:00,190.79,190.83,190.75,190.75,1277,AMD
2026-02-05 19:54:00+00:00,190.87,191.09,190.87,191.005,2513,AMD
2026-02-05 19:55:00+00:00,190.95,191.11,190.95,191.0,1214,AMD
2026-02-05 19:56:00+00:00,191.07,191.07,190.77,190.84,1462,AMD
2026-02-05 19:57:00+00:00,190.88,191.18,190.83,190.83,3792,AMD
2026-02-05 19:58:00+00:00,190.95,191.43,190.95,191.41,4598,AMD
2026-02-05 19:59:00+00:00,191.515,191.605,191.435,191.57,4129,AMD
2026-02-05 20:00:00+00:00,191.53,191.53,191.37,191.385,3405,AMD
2026-02-05 20:00:00+00:00,675.52,675.52,675.48,675.48,319,META
2026-02-05 20:00:00+00:00,395.82,396.095,395.77,396.0,5730,MSFT
2026-02-05 20:01:00+00:00,191.4,191.475,191.25,191.47,3772,AMD
2026-02-05 20:01:00+00:00,222.4,222.54,222.34,222.47,6665,AMZN
2026-02-05 20:01:00+00:00,674.92,675.27,674.875,675.27,584,META
2026-02-05 20:01:00+00:00,396.06,396.615,396.06,396.595,6676,MSFT
2026-02-05 20:01:00+00:00,173.085,173.32,173.07,173.315,12952,NVDA
2026-02-05 20:01:00+00:00,396.18,396.78,396.18,396.78,1635,TSLA
2026-02-05 20:02:00+00:00,191.47,191.65,191.42,191.64,6534,AMD
2026-02-05 20:02:00+00:00,222.55,222.71,222.55,222.67,3263,AMZN
2026-02-05 20:02:00+00:00,313.59,314.03,313.55,314.03,4809,AVGO
2026-02-05 20:02:00+00:00,676.47,676.74,676.365,676.365,505,META
2026-02-05 20:02:00+00:00,396.64,396.75,396.485,396.7,3316,MSFT
2026-02-05 20:02:00+00:00,173.345,173.44,173.27,173.425,9932,NVDA
2026-02-05 20:02:00+00:00,396.87,396.94,396.485,396.53,1746,TSLA
2026-02-05 20:03:00+00:00,270.715,270.715,270.57,270.61,408,ADBE
2026-02-05 20:03:00+00:00,191.51,191.62,191.5,191.53,3123,AMD
2026-02-05 20:03:00+00:00,222.66,222.665,222.51,222.51,3363,AMZN
2026-02-05 20:03:00+00:00,313.94,313.945,313.48,313.53,2897,AVGO
2026-02-05 20:03:00+00:00,676.42,676.42,676.42,676.42,222,META
2026-02-05 20:03:00+00:00,396.67,396.68,396.36,396.44,6897,MSFT
2026-02-05 20:03:00+00:00,173.41,173.41,173.225,173.355,9788,NVDA
2026-02-05 20:03:00+00:00,396.415,396.415,396.13,396.39,816,TSLA
2026-02-05 20:04:00+00:00,270.635,270.64,270.56,270.64,386,ADBE
2026-02-05 20:04:00+00:00,191.59,191.81,191.59,191.81,4356,AMD
2026-02-05 20:04:00+00:00,222.52,222.76,222.515,222.73,6727,AMZN
2026-02-05 20:04:00+00:00,313.46,313.78,313.45,313.78,3925,AVGO
2026-02-05 20:04:00+00:00,676.69,676.69,676.51,676.64,688,META
2026-02-05 20:04:00+00:00,396.4,396.44,396.07,396.14,2028,MSFT
2026-02-05 20:04:00+00:00,173.355,173.445,173.325,173.43,13488,NVDA
2026-02-05 20:04:00+00:00,396.46,396.505,396.11,396.22,2821,TSLA
2026-02-05 20:05:00+00:00,270.67,270.67,270.585,270.625,400,ADBE
2026-02-05 20:05:00+00:00,191.75,191.88,191.66,191.71,2919,AMD
2026-02-05 20:05:00+00:00,222.75,222.82,222.71,222.76,6175,AMZN
2026-02-05 20:05:00+00:00,313.62,313.78,313.47,313.54,5778,AVGO
2026-02-05 20:05:00+00:00,676.98,677.28,676.98,677.1,709,META
2026-02-05 20:05:00+00:00,396.09,396.27,395.88,396.18,2371,MSFT
2026-02-05 20:05:00+00:00,173.425,173.47,173.375,173.375,8088,NVDA
2026-02-05 20:05:00+00:00,396.2,396.435,396.2,396.28,836,TSLA
2026-02-05 20:06:00+00:00,270.66,270.91,270.66,270.91,467,ADBE
2026-02-05 20:06:00+00:00,191.62,192.965,191.62,192.965,7451,AMD
2026-02-05 20:06:00+00:00,222.71,223.05,222.71,222.93,3664,AMZN
2026-02-05 20:06:00+00:00,313.59,314.07,313.33,314.04,7491,AVGO
2026-02-05 20:06:00+00:00,676.79,677.65,676.79,677.23,1679,META
2026-02-05 20:06:00+00:00,396.0,396.24,395.97,396.14,4083,MSFT
2026-02-05 20:06:00+00:00,173.315,173.705,173.315,173.645,23971,NVDA
2026-02-05 20:06:00+00:00,396.23,397.095,396.23,397.04,1839,TSLA
2026-02-05 20:07:00+00:00,270.68,270.9,270.68,270.9,495,ADBE
2026-02-05 20:07:00+00:00,192.93,193.23,192.92,193.17,2812,AMD
2026-02-05 20:07:00+00:00,222.94,223.45,222.94,223.445,10615,AMZN
2026-02-05 20:07:00+00:00,314.065,314.92,314.065,314.92,3597,AVGO
2026-02-05 20:07:00+00:00,677.255,678.01,677.255,677.9,739,META
2026-02-05 20:07:00+00:00,396.11,396.35,396.11,396.33,4884,MSFT
2026-02-05 20:07:00+00:00,173.655,173.96,173.655,173.95,20899,NVDA
2026-02-05 20:07:00+00:00,397.075,397.81,397.075,397.81,2239,TSLA
2026-02-05 20:08:00+00:00,270.99,271.0,270.99,271.0,202,ADBE
2026-02-05 20:08:00+00:00,193.32,193.32,193.115,193.14,2142,AMD
2026-02-05 20:08:00+00:00,223.46,223.53,223.355,223.45,5497,AMZN
2026-02-05 20:08:00+00:00,314.93,315.0,314.41,314.54,2804,AVGO
2026-02-05 20:08:00+00:00,678.22,678.49,678.22,678.22,489,META
2026-02-05 20:08:00+00:00,396.3,396.46,396.25,396.26,7460,MSFT
2026-02-05 20:08:00+00:00,173.96,174.06,173.955,173.97,10012,NVDA
2026-02-05 20:08:00+00:00,397.81,397.915,397.655,397.73,2156,TSLA
2026-02-05 20:09:00+00:00,270.915,271.29,270.915,271.29,338,ADBE
2026-02-05 20:09:00+00:00,193.09,193.55,193.09,193.42,1231,AMD
2026-02-05 20:09:00+00:00,223.48,223.5,223.38,223.41,9621,AMZN
2026-02-05 20:09:00+00:00,315.035,315.3,314.69,314.69,2264,AVGO
2026-02-05 20:09:00+00:00,678.225,678.5,678.225,678.265,629,META
2026-02-05 20:09:00+00:00,396.245,396.77,396.245,396.77,6831,MSFT
2026-02-05 20:09:00+00:00,173.995,174.04,173.91,173.97,13845,NVDA
2026-02-05 20:09:00+00:00,397.75,398.07,397.75,397.89,1698,TSLA
2026-02-05 20:10:00+00:00,271.35,271.35,271.35,271.35,234,ADBE
2026-02-05 20:10:00+00:00,193.28,193.35,193.09,193.3,1368,AMD
2026-02-05 20:10:00+00:00,223.38,223.38,223.06,223.26,5465,AMZN
2026-02-05 20:10:00+00:00,314.71,314.88,314.4,314.705,3232,AVGO
2026-02-05 20:10:00+00:00,678.61,678.68,678.61,678.63,641,META
2026-02-05 20:10:00+00:00,396.74,396.92,396.46,396.475,5163,MSFT
2026-02-05 20:10:00+00:00,173.94,174.16,173.87,174.16,8414,NVDA
2026-02-05 20:10:00+00:00,397.87,398.245,397.795,398.235,1797,TSLA
2026-02-05 20:11:00+00:00,271.3,271.3,271.02,271.02,572,ADBE
2026-02-05 20:11:00+00:00,193.46,193.47,193.21,193.21,850,AMD
2026-02-05 20:11:00+00:00,223.29,223.35,223.19,223.31,3677,AMZN
2026-02-05 20:11:00+00:00,314.815,314.89,314.02,314.02,2885,AVGO
2026-02-05 20:11:00+00:00,679.3,679.38,678.97,679.12,1134,META
2026-02-05 20:11:00+00:00,396.465,396.51,395.895,395.94,11323,MSFT
2026-02-05 20:11:00+00:00,174.17,174.21,173.94,173.94,5538,NVDA
2026-02-05 20:11:00+00:00,398.3,398.36,397.455,397.63,1524,TSLA
2026-02-05 20:12:00+00:00,270.82,270.82,270.75,270.78,451,ADBE
2026-02-05 20:12:00+00:00,193.12,193.12,192.6,192.61,2140,AMD
2026-02-05 20:12:00+00:00,223.35,223.35,223.115,223.22,8183,AMZN
2026-02-05 20:12:00+00:00,314.0,314.04,313.045,313.18,6678,AVGO
2026-02-05 20:12:00+00:00,678.95,679.01,678.84,678.86,696,META
2026-02-05 20:12:00+00:00,395.905,395.99,395.055,395.075,6573,MSFT
2026-02-05 20:12:00+00:00,173.925,173.925,173.605,173.615,12041,NVDA
2026-02-05 20:12:00+00:00,397.65,397.65,396.915,397.26,3221,TSLA
2026-02-05 20:13:00+00:00,270.81,270.93,270.81,270.93,487,ADBE
2026-02-05 20:13:00+00:00,192.48,192.665,192.235,192.665,2836,AMD
2026-02-05 20:13:00+00:00,223.25,223.25,223.06,223.2,5164,AMZN
2026-02-05 20:13:00+00:00,313.11,313.18,312.93,313.115,3897,AVGO
2026-02-05 20:13:00+00:00,678.75,678.75,677.59,677.59,1922,META
2026-02-05 20:13:00+00:00,395.08,395.15,394.815,395.005,11471,MSFT
2026-02-05 20:13:00+00:00,173.64,173.64,173.42,173.59,22813,NVDA
2026-02-05 20:13:00+00:00,397.09,397.14,396.725,397.03,1202,TSLA
2026-02-05 20:14:00+00:00,270.82,270.86,270.72,270.72,303,ADBE
2026-02-05 20:14:00+00:00,192.69,192.92,192.67,192.67,2680,AMD
2026-02-05 20:14:00+00:00,223.22,223.26,223.17,223.23,2866,AMZN
2026-02-05 20:14:00+00:00,313.01,313.17,312.58,312.58,2246,AVGO
2026-02-05 20:14:00+00:00,678.19,678.19,677.78,677.78,676,META
2026-02-05 20:14:00+00:00,394.95,394.99,394.725,394.74,5215,MSFT
2026-02-05 20:14:00+00:00,173.555,173.65,173.53,173.535,13883,NVDA
2026-02-05 20:14:00+00:00,397.25,397.4,397.2,397.27,3317,TSLA
